method,Country_name,share_pct,burden_label
HQRTM q=0.60,Bulgaria,73.6,>= 10%
HQRTM q=0.65,Bulgaria,73.6,>= 10%
HQRTM q=0.70,Bulgaria,73.6,>= 10%
Traditional LIHC,Bulgaria,73.6,>= 10%
HQRTM q=0.60,France,67.0,>= 10%
HQRTM q=0.65,France,67.0,>= 10%
HQRTM q=0.70,France,67.0,>= 10%
Traditional LIHC,France,67.0,>= 10%
HQRTM q=0.60,Germany,87.76371308016878,>= 10%
HQRTM q=0.65,Germany,87.76371308016878,>= 10%
HQRTM q=0.70,Germany,87.76371308016878,>= 10%
Traditional LIHC,Germany,87.76371308016878,>= 10%
HQRTM q=0.60,Hungary,72.99412915851272,>= 10%
HQRTM q=0.65,Hungary,72.99412915851272,>= 10%
HQRTM q=0.70,Hungary,72.99412915851272,>= 10%
Traditional LIHC,Hungary,72.99412915851272,>= 10%
HQRTM q=0.60,Italy,61.46341463414634,>= 10%
HQRTM q=0.65,Italy,61.46341463414634,>= 10%
HQRTM q=0.70,Italy,61.46341463414634,>= 10%
Traditional LIHC,Italy,61.46341463414634,>= 10%
HQRTM q=0.60,Norway,29.975429975429975,>= 10%
HQRTM q=0.65,Norway,29.975429975429975,>= 10%
HQRTM q=0.70,Norway,29.975429975429975,>= 10%
Traditional LIHC,Norway,29.975429975429975,>= 10%
HQRTM q=0.60,Poland,64.5,>= 10%
HQRTM q=0.65,Poland,64.5,>= 10%
HQRTM q=0.70,Poland,64.5,>= 10%
Traditional LIHC,Poland,64.5,>= 10%
HQRTM q=0.60,Serbia,82.3,>= 10%
HQRTM q=0.65,Serbia,82.3,>= 10%
HQRTM q=0.70,Serbia,82.3,>= 10%
Traditional LIHC,Serbia,82.3,>= 10%
HQRTM q=0.60,Spain,32.23684210526316,>= 10%
HQRTM q=0.65,Spain,32.23684210526316,>= 10%
HQRTM q=0.70,Spain,32.23684210526316,>= 10%
Traditional LIHC,Spain,32.23684210526316,>= 10%
HQRTM q=0.60,Ukraine,22.74975272007913,>= 10%
HQRTM q=0.65,Ukraine,22.74975272007913,>= 10%
HQRTM q=0.70,Ukraine,22.74975272007913,>= 10%
Traditional LIHC,Ukraine,22.74975272007913,>= 10%
HQRTM q=0.60,United Kingdom,22.06896551724138,>= 10%
HQRTM q=0.65,United Kingdom,22.06896551724138,>= 10%
HQRTM q=0.70,United Kingdom,22.06896551724138,>= 10%
