iter	TotalF1:average=Macro	MultiClass
0	0.5639381409	1.321016332
1	0.5932023142	1.258606944
2	0.6050488107	1.214287947
3	0.6218062687	1.171726522
4	0.6129525723	1.129383761
5	0.6265927013	1.093113585
6	0.6359474206	1.064916011
7	0.6392292191	1.039469622
8	0.644586769	1.01621679
9	0.6592846528	0.9928966948
10	0.6644669645	0.973663646
11	0.6702694277	0.9526678334
12	0.6720235761	0.9364565966
13	0.6773206531	0.9234081788
14	0.6797837033	0.9115174388
15	0.6805552364	0.8945964469
16	0.6782179065	0.8810139789
17	0.6777589591	0.8645441869
18	0.6924791282	0.8533199069
19	0.6945824343	0.8412558523
20	0.6968928627	0.8331503131
21	0.6977049326	0.8239379078
22	0.7025253609	0.8149188537
23	0.7054968329	0.8070704809
24	0.7110662794	0.7937145431
25	0.7132480726	0.7859424099
26	0.7144199727	0.7804030064
27	0.7151998265	0.7734690317
28	0.716861036	0.7667857869
29	0.7212857161	0.7569168782
30	0.724525725	0.7490060768
31	0.7260200786	0.7410034254
32	0.730089427	0.7352539658
33	0.7348206176	0.7237041262
34	0.7379979653	0.7149880689
35	0.738187775	0.7103096993
36	0.7399663172	0.7035724574
37	0.7411117237	0.6973913861
38	0.7421688652	0.6926233698
39	0.7411743757	0.6886361124
40	0.74365337	0.6853911318
41	0.7449609966	0.6825905502
42	0.7466266156	0.6764598125
43	0.74872837	0.671520171
44	0.7490270628	0.6678844908
45	0.7499697993	0.6628447802
46	0.7510745024	0.6602825687
47	0.7513510744	0.6563064662
48	0.7514168363	0.6541635382
49	0.7512516953	0.6505160194
50	0.7517468113	0.648219185
51	0.7532717854	0.6439144001
52	0.7552428251	0.6392305592
53	0.7564297484	0.6372810334
54	0.758398737	0.6331610968
55	0.7589616561	0.6316881605
56	0.760452154	0.6283180098
57	0.7609154996	0.6249738833
58	0.7626672256	0.6209364079
59	0.7640691187	0.6182466395
60	0.7644543691	0.6155221215
61	0.7646934903	0.6138710404
62	0.7651708392	0.6113396287
63	0.7662705557	0.6079647888
64	0.7677432739	0.6057179397
65	0.7687965347	0.6033553527
66	0.7686408528	0.6018283437
67	0.7715013063	0.5977231464
68	0.7742383382	0.59475332
69	0.7756849332	0.591487601
70	0.7753919671	0.5896334743
71	0.7763224143	0.58698524
72	0.7772646025	0.5857958659
73	0.7778008146	0.5829268142
74	0.7784414473	0.5815842411
75	0.7792859142	0.5790725969
76	0.7801732311	0.5777860751
77	0.781663961	0.575582617
78	0.783267879	0.5732160829
79	0.7839829871	0.5717176735
80	0.7848665047	0.5687834609
81	0.7859451737	0.5662663224
82	0.785802784	0.564955888
83	0.7874465508	0.5619097813
84	0.7870518997	0.5608753366
85	0.7874691851	0.559954614
86	0.7897786131	0.5564856863
87	0.790715568	0.5549852775
88	0.7924884165	0.5524524758
89	0.7932317945	0.5505938123
90	0.7938245736	0.5494602371
91	0.7949367098	0.5472481417
92	0.7960004432	0.5451224535
93	0.7962568763	0.5433960582
94	0.8001040089	0.5403611002
95	0.8008222252	0.5391190562
96	0.8016836076	0.5370085983
97	0.8024268174	0.5335254321
98	0.8021505215	0.5327573956
99	0.8027305695	0.5318112389
100	0.8052109034	0.52661322
101	0.8072019294	0.5237360753
102	0.807855437	0.5214941024
103	0.8106710719	0.5185040499
104	0.8123310622	0.5156179918
105	0.8138173656	0.5142651328
106	0.8144677475	0.5130188351
107	0.8149863876	0.5105064235
108	0.8169681111	0.5080073556
109	0.8177661173	0.5063264462
110	0.8188357295	0.501833073
111	0.8208158792	0.499858332
112	0.82110507	0.4974406438
113	0.8223099354	0.4952068064
114	0.8229600571	0.4936246756
115	0.8245896463	0.4921351322
116	0.8245979161	0.4910919633
117	0.8258512543	0.4894643806
118	0.8271196374	0.4871970931
119	0.827946322	0.4860084077
120	0.8287151489	0.4842234071
121	0.8304936177	0.4825542299
122	0.8306929043	0.4813757745
123	0.831757934	0.479969376
124	0.831816986	0.4789864941
125	0.831787703	0.4779134327
126	0.8328209791	0.4759852483
127	0.8331471064	0.4744172773
128	0.8337204811	0.4733913902
129	0.8359842592	0.4712914595
130	0.837195821	0.4689026373
131	0.8376693369	0.4680802785
132	0.8393693186	0.4660638578
133	0.8395805233	0.4652120981
134	0.8406254934	0.4638375496
135	0.8414751548	0.4614425121
136	0.8422339478	0.4604037712
137	0.8425645197	0.4585683212
138	0.8439252089	0.4570788421
139	0.8448618737	0.4560266866
140	0.8465692291	0.4537368999
141	0.847229948	0.4524723384
142	0.8472379617	0.4509009347
143	0.8477366417	0.4495166391
144	0.847745125	0.4489342037
145	0.8479430519	0.4479844083
146	0.8485435099	0.4464169698
147	0.8493935573	0.4444361337
148	0.8501185067	0.4432183104
149	0.8504022697	0.442727402
150	0.8511229608	0.4407788815
151	0.8516063308	0.4398824616
152	0.852394078	0.4384198055
153	0.8525937144	0.4374368492
154	0.8529978764	0.4358447996
155	0.8536689665	0.4350485392
156	0.853910087	0.4341805048
157	0.8539490839	0.4333739731
158	0.8540360925	0.4322361479
159	0.8548465062	0.431271348
160	0.854691986	0.4298986915
161	0.8560489397	0.4287758485
162	0.8568793834	0.4276506251
163	0.856928468	0.4267321664
164	0.8565577521	0.425915007
165	0.8571607394	0.4247149356
166	0.8573529593	0.4237474058
167	0.8581094718	0.4222194294
168	0.8584896569	0.4210417986
169	0.8591731327	0.4198717453
170	0.8599320707	0.4190057387
171	0.860807824	0.4177550918
172	0.8613277082	0.4166053177
173	0.8612913661	0.4153189194
174	0.8619285659	0.4140206966
175	0.8621738855	0.4135228596
176	0.8620523931	0.4127600409
177	0.8625382634	0.4111481203
178	0.8628584156	0.410164468
179	0.8626566969	0.4096243378
180	0.8635616184	0.4079901544
181	0.8636400581	0.4069615217
182	0.8642671813	0.4057511085
183	0.8652041809	0.4047934012
