iter	Passed	Remaining
0	11	7713
1	20	7271
2	32	7620
3	44	7813
4	54	7642
5	65	7570
6	74	7378
7	83	7233
8	95	7308
9	103	7146
10	114	7181
11	128	7368
12	139	7367
13	147	7218
14	154	7033
15	161	6886
16	170	6860
17	178	6759
18	188	6744
19	196	6685
20	204	6597
21	211	6516
22	220	6490
23	229	6469
24	238	6439
25	247	6427
26	255	6371
27	265	6371
28	272	6304
29	280	6263
30	291	6291
31	300	6281
32	311	6302
33	321	6295
34	331	6303
35	343	6330
36	354	6352
37	363	6339
38	375	6361
39	389	6427
40	404	6507
41	419	6565
42	428	6551
43	439	6558
44	451	6565
45	462	6578
46	473	6582
47	485	6591
48	493	6557
49	504	6563
50	513	6535
51	523	6520
52	534	6524
53	543	6499
54	561	6590
55	571	6566
56	580	6544
57	590	6532
58	598	6498
59	606	6466
60	614	6442
61	624	6421
62	633	6404
63	644	6407
64	652	6371
65	659	6337
66	668	6313
67	676	6291
68	685	6272
69	694	6253
70	700	6206
71	707	6171
72	715	6146
73	723	6120
74	735	6126
75	749	6156
76	761	6162
77	771	6149
78	780	6132
79	790	6129
80	801	6126
81	809	6098
82	819	6093
83	828	6078
84	846	6121
85	866	6186
86	881	6208
87	899	6253
88	909	6243
89	920	6240
90	930	6226
91	939	6209
92	950	6206
93	959	6182
94	967	6161
95	978	6154
96	987	6136
97	996	6119
98	1008	6120
99	1018	6113
100	1027	6093
101	1039	6092
102	1049	6084
103	1059	6068
104	1069	6057
105	1078	6043
106	1088	6031
107	1097	6016
108	1106	6000
109	1115	5981
110	1123	5962
111	1133	5950
112	1142	5935
113	1154	5932
114	1162	5911
115	1169	5886
116	1176	5864
117	1186	5850
118	1195	5837
119	1204	5819
120	1216	5818
121	1225	5806
122	1235	5795
123	1244	5781
124	1253	5765
125	1261	5747
126	1269	5729
127	1280	5722
128	1288	5702
129	1296	5686
130	1306	5674
131	1317	5667
132	1326	5657
133	1337	5648
134	1349	5646
135	1359	5636
136	1370	5630
137	1382	5628
138	1392	5618
139	1401	5604
140	1410	5592
141	1419	5578
142	1429	5567
143	1437	5551
144	1447	5541
145	1458	5534
146	1467	5519
147	1475	5503
148	1484	5487
149	1493	5476
150	1503	5468
151	1513	5457
152	1527	5460
153	1536	5448
154	1547	5439
155	1554	5422
156	1565	5413
157	1575	5405
158	1584	5392
159	1593	5379
160	1602	5363
161	1611	5350
162	1620	5337
163	1631	5331
164	1641	5321
165	1649	5306
166	1660	5300
167	1674	5301
168	1684	5291
169	1694	5281
170	1703	5268
171	1713	5259
172	1722	5247
173	1734	5241
174	1742	5227
175	1751	5214
176	1760	5201
177	1770	5190
178	1781	5184
179	1789	5171
180	1800	5161
181	1809	5149
182	1821	5146
183	1831	5135
184	1842	5128
185	1850	5113
186	1859	5101
187	1867	5086
188	1877	5075
189	1886	5063
190	1896	5054
191	1904	5039
192	1915	5030
193	1925	5021
194	1934	5009
195	1943	4997
196	1954	4989
197	1964	4980
198	1973	4967
199	1980	4951
200	1990	4941
201	2000	4932
202	2010	4921
203	2021	4914
204	2030	4902
205	2040	4893
206	2050	4884
207	2057	4867
208	2066	4855
209	2074	4840
210	2082	4826
211	2092	4817
212	2101	4805
213	2111	4796
214	2120	4784
215	2130	4774
216	2138	4760
217	2149	4751
218	2157	4739
219	2166	4726
220	2174	4712
221	2182	4699
222	2191	4688
223	2200	4676
224	2209	4665
225	2219	4654
226	2227	4641
227	2236	4630
228	2245	4618
229	2252	4603
230	2260	4590
231	2270	4579
232	2279	4569
233	2290	4562
234	2302	4555
235	2312	4546
236	2321	4534
237	2327	4518
238	2337	4509
239	2347	4499
240	2356	4488
241	2365	4476
242	2372	4462
243	2377	4444
244	2385	4430
245	2394	4418
246	2403	4408
247	2411	4394
248	2421	4386
249	2435	4383
250	2446	4375
251	2457	4369
252	2465	4355
253	2471	4339
254	2476	4321
255	2484	4308
256	2491	4294
257	2497	4279
258	2504	4264
259	2513	4253
260	2521	4241
261	2527	4225
262	2536	4214
263	2544	4202
264	2554	4193
265	2564	4184
266	2572	4171
267	2582	4162
268	2594	4156
269	2606	4151
270	2614	4138
271	2620	4122
272	2626	4107
273	2634	4096
274	2641	4082
275	2648	4068
276	2654	4054
277	2663	4043
278	2672	4033
279	2680	4021
280	2690	4012
281	2699	4001
282	2709	3992
283	2718	3981
284	2726	3970
285	2735	3959
286	2746	3951
287	2758	3945
288	2768	3937
289	2778	3928
290	2784	3914
291	2791	3900
292	2799	3888
293	2804	3872
294	2813	3862
295	2822	3852
296	2831	3842
297	2842	3834
298	2850	3822
299	2859	3812
300	2868	3802
301	2879	3794
302	2887	3783
303	2893	3769
304	2900	3756
305	2910	3747
306	2917	3734
307	2929	3728
308	2939	3719
309	2949	3711
310	2958	3700
311	2969	3692
312	2978	3683
313	2984	3668
314	2992	3657
315	2998	3643
316	3004	3630
317	3011	3617
318	3019	3606
319	3028	3596
320	3036	3585
321	3042	3572
322	3051	3561
323	3060	3551
324	3069	3541
325	3079	3532
326	3086	3520
327	3095	3511
328	3104	3500
329	3110	3488
330	3117	3474
331	3125	3464
332	3132	3452
333	3141	3442
334	3148	3430
335	3153	3416
336	3161	3405
337	3169	3394
338	3177	3383
339	3191	3379
340	3197	3366
341	3206	3356
342	3215	3347
343	3223	3335
344	3229	3323
345	3237	3312
346	3245	3301
347	3258	3295
348	3266	3285
349	3274	3274
350	3282	3263
351	3289	3252
352	3298	3241
353	3305	3231
354	3314	3220
355	3323	3211
356	3330	3199
357	3339	3190
358	3346	3178
359	3352	3166
360	3362	3157
361	3369	3146
362	3377	3135
363	3384	3124
364	3392	3113
365	3400	3103
366	3409	3093
367	3417	3083
368	3425	3072
369	3433	3062
370	3440	3051
371	3448	3040
372	3454	3028
373	3460	3016
374	3468	3005
375	3477	2996
376	3485	2986
377	3494	2976
378	3504	2968
379	3511	2956
380	3518	2945
381	3526	2935
382	3534	2925
383	3542	2915
384	3550	2904
385	3556	2893
386	3565	2883
387	3573	2873
388	3581	2863
389	3593	2856
390	3600	2845
391	3608	2835
392	3617	2825
393	3623	2814
394	3632	2805
395	3639	2794
396	3645	2782
397	3655	2773
398	3663	2763
399	3673	2755
400	3682	2746
401	3692	2737
402	3703	2729
403	3710	2718
404	3721	2710
405	3732	2702
406	3745	2696
407	3750	2684
408	3759	2675
409	3767	2664
410	3776	2655
411	3784	2645
412	3790	2634
413	3798	2624
414	3807	2614
415	3812	2603
416	3819	2592
417	3827	2582
418	3835	2572
419	3843	2562
420	3853	2553
421	3860	2543
422	3872	2535
423	3885	2529
424	3893	2519
425	3902	2510
426	3911	2500
427	3923	2493
428	3931	2483
429	3939	2473
430	3949	2465
431	3963	2458
432	3972	2449
433	3982	2440
434	3993	2432
435	4006	2425
436	4016	2417
437	4027	2408
438	4038	2400
439	4051	2394
440	4064	2386
441	4072	2377
442	4080	2367
443	4087	2356
444	4096	2347
445	4104	2337
446	4114	2329
447	4126	2321
448	4138	2313
449	4155	2308
450	4168	2301
451	4178	2292
452	4186	2282
453	4192	2271
454	4199	2261
455	4207	2251
456	4213	2240
457	4219	2229
458	4227	2219
459	4237	2210
460	4247	2202
461	4260	2194
462	4273	2187
463	4284	2179
464	4297	2171
465	4307	2162
466	4313	2151
467	4323	2143
468	4339	2137
469	4352	2129
470	4361	2120
471	4369	2110
472	4381	2102
473	4394	2095
474	4405	2086
475	4416	2078
476	4423	2068
477	4433	2059
478	4440	2048
479	4450	2039
480	4460	2030
481	4473	2023
482	4487	2016
483	4498	2007
484	4505	1997
485	4512	1986
486	4523	1978
487	4534	1969
488	4542	1960
489	4550	1950
490	4558	1940
491	4566	1930
492	4573	1920
493	4583	1911
494	4594	1902
495	4605	1894
496	4611	1883
497	4624	1875
498	4635	1867
499	4645	1858
500	4658	1850
501	4669	1841
502	4678	1832
503	4689	1823
504	4697	1813
505	4707	1805
506	4716	1795
507	4726	1786
508	4734	1776
509	4745	1767
510	4754	1758
511	4763	1749
512	4774	1740
513	4785	1731
514	4794	1722
515	4802	1712
516	4808	1701
517	4817	1692
518	4823	1682
519	4831	1672
520	4840	1662
521	4849	1653
522	4855	1643
523	4863	1633
524	4872	1624
525	4880	1614
526	4888	1604
527	4895	1594
528	4902	1584
529	4910	1574
530	4916	1564
531	4924	1555
532	4932	1545
533	4940	1535
534	4947	1525
535	4955	1516
536	4964	1506
537	4971	1497
538	4980	1487
539	4988	1478
540	4997	1468
541	5005	1459
542	5013	1449
543	5022	1440
544	5029	1430
545	5038	1421
546	5046	1411
547	5058	1403
548	5068	1393
549	5077	1384
550	5088	1375
551	5097	1366
552	5103	1356
553	5110	1346
554	5117	1337
555	5133	1329
556	5144	1320
557	5153	1311
558	5160	1301
559	5168	1292
560	5177	1282
561	5186	1273
562	5195	1264
563	5209	1256
564	5215	1246
565	5222	1236
566	5231	1227
567	5237	1217
568	5246	1207
569	5253	1198
570	5261	1188
571	5268	1179
572	5278	1169
573	5285	1160
574	5294	1151
575	5305	1142
576	5313	1132
577	5323	1123
578	5330	1114
579	5339	1104
580	5347	1095
581	5356	1085
582	5365	1076
583	5373	1067
584	5380	1057
585	5388	1048
586	5398	1039
587	5403	1029
588	5409	1019
589	5416	1009
590	5426	1000
591	5434	991
592	5442	981
593	5452	972
594	5460	963
595	5466	953
596	5476	944
597	5484	935
598	5491	925
599	5496	916
600	5506	907
601	5514	897
602	5523	888
603	5529	878
604	5535	869
605	5541	859
606	5548	850
607	5557	840
608	5567	831
609	5575	822
610	5585	813
611	5593	804
612	5603	795
613	5612	786
614	5620	776
615	5628	767
616	5636	758
617	5643	748
618	5653	739
619	5660	730
620	5670	721
621	5678	712
622	5686	702
623	5695	693
624	5706	684
625	5714	675
626	5725	666
627	5734	657
628	5741	648
629	5749	638
630	5758	629
631	5766	620
632	5772	610
633	5781	601
634	5788	592
635	5798	583
636	5813	574
637	5821	565
638	5831	556
639	5839	547
640	5850	538
641	5859	529
642	5868	520
643	5876	511
644	5883	501
645	5894	492
646	5905	483
647	5913	474
648	5928	465
649	5940	456
650	5949	447
651	5959	438
652	5967	429
653	5974	420
654	5981	410
655	5990	401
656	5999	392
657	6008	383
658	6017	374
659	6025	365
660	6034	356
661	6044	346
662	6054	337
663	6062	328
664	6072	319
665	6081	310
666	6092	301
667	6103	292
668	6112	283
669	6121	274
670	6133	265
671	6144	256
672	6154	246
673	6163	237
674	6171	228
675	6181	219
676	6189	210
677	6198	201
678	6207	191
679	6219	182
680	6230	173
681	6238	164
682	6246	155
683	6256	146
684	6264	137
685	6273	128
686	6283	118
687	6292	109
688	6301	100
689	6308	91
690	6317	82
691	6325	73
692	6332	63
693	6340	54
694	6348	45
695	6357	36
696	6366	27
697	6377	18
698	6390	9
699	6399	0
