feature,group,dtype,non_null,missing_pct,unique_values,mean,std,median,min,max,top_values
children_present,Base structural,int64,11265,0.0,2,0.3983133599644918,0.48957236835474505,0.0,0.0,1.0,
elderly_present,Base structural,int64,11265,0.0,2,0.41881935197514425,0.49338758791886894,0.0,0.0,1.0,
heating_control,Base structural,float64,11265,0.0,4,2.472791833111407,1.0941115756585862,2.0,1.0,4.0,
C2,Context,float64,11265,0.0,3,0.8157123834886818,0.9462385775683052,0.0,0.0,2.0,
Country,Context,int64,11265,0.0,11,5.839946737683089,3.175926291597913,6.0,1.0,11.0,
Country_name,Context,object,11265,0.0,11,,,,,,FR:1500 | NO:1221 | IT:1025
S6,Context,int64,11265,0.0,6,2.8237905015534843,1.1807983799366637,3.0,1.0,6.0,
dwelling_type,Quantile-regression,int64,11265,0.0,4,2.356946293830448,1.2976609390311185,2.0,1.0,4.0,
floor_area,Quantile-regression,float64,11265,0.0,6,89.5855304039059,42.39316906241871,78.0,21.0,200.0,
house_age,Quantile-regression,float64,11265,0.0,8,43.0110075454949,18.97471084234113,43.0,5.0,73.0,
household_size,Quantile-regression,int64,11265,0.0,23,2.709098979138926,1.6055909660857792,2.0,0.0,37.0,
insulation_count,Quantile-regression,int64,11265,0.0,4,0.6898357745228584,0.8520887498302377,0.0,0.0,3.0,
main_heating_source,Quantile-regression,object,11265,0.0,11,,,,,,H6A1:3440 | H6A3:3225 | H6A2:1799
equivalized_income,Socioeconomic,float64,11265,0.0,403,8760.87797514338,8523.663318653564,5666.666666666667,244.44444444444449,42906.66666666706,
total_expenditure,Target-related,float64,11265,0.0,1097,1632.7367312276967,3019.8091533559777,677.9999999999999,0.0,16680.0,
