trial,mean_score,std_score,iterations,learning_rate,depth,l2_leaf_reg,bootstrap_type,subsample,verbose,loss_function,eval_metric,task_type
18,0.3305592532126203,0.028996313213328385,500,0.03,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
11,0.33050122390849507,0.025740176273090373,500,0.03,8,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
13,0.3296295993976906,0.030371493091683934,500,0.05,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
15,0.3292322880586996,0.0328244858245788,300,0.03,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
3,0.32765618586626455,0.030502028469384292,300,0.03,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
7,0.32477305821884944,0.025764317891784426,300,0.05,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
6,0.3244086310330822,0.025552729974827704,300,0.05,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
19,0.3241347794652783,0.026828156234508543,500,0.05,4,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
12,0.32392301026608494,0.026200581724782648,300,0.03,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
2,0.3238439958484823,0.029980568915137538,300,0.03,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
4,0.3235751193113644,0.024895933686332517,500,0.1,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
1,0.32274440659430614,0.02326977806768186,500,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
16,0.32274440659430614,0.02326977806768186,300,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
9,0.3223331444790409,0.02117173111223755,300,0.03,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
17,0.3220447415523972,0.023651089358556567,300,0.05,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
10,0.32106487495787606,0.023488825571379945,500,0.05,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
14,0.32039773014203793,0.022838128825140178,500,0.03,4,3,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
5,0.3202066663772793,0.03502589548581707,300,0.05,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
8,0.3076142770223556,0.035433911073719154,300,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
20,0.3076142770223556,0.035433911073719154,500,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
