trial,mean_score,std_score,iterations,learning_rate,depth,l2_leaf_reg,bootstrap_type,subsample,verbose,loss_function,eval_metric,task_type
12,0.3808164763491408,0.010106791772158952,300,0.03,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
3,0.3804892002421209,0.01485113950705802,300,0.03,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
7,0.3777601476323656,0.01739380675046648,300,0.05,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
17,0.3749310804692647,0.01781133527350695,300,0.05,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
15,0.3741106164979452,0.010225756462929336,300,0.03,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
14,0.3728210637820692,0.02045270606072952,500,0.03,4,3,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
8,0.37243990478574795,0.01487736230113837,300,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
19,0.3721201411732358,0.015099188772515482,500,0.05,4,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
16,0.37039909383410136,0.02003412961560086,300,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
18,0.3688397111242908,0.0219096077306824,500,0.03,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
5,0.36751842891541286,0.018445153889796645,300,0.05,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
20,0.3644306666062492,0.015026147164727777,500,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
2,0.3640476226961109,0.01531607610695826,300,0.03,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
13,0.36391367024282395,0.019656683107298373,500,0.05,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
4,0.36390454676562456,0.02150217006660768,500,0.1,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
9,0.3631100904193003,0.012454325658184523,300,0.03,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
1,0.3611926057385385,0.020124543136376905,500,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
11,0.359799810486443,0.014150248247529973,500,0.03,8,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
6,0.35714990658710033,0.016590981630988016,300,0.05,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
10,0.35192112836989065,0.016305544065884886,500,0.05,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
