trial,mean_score,std_score,iterations,learning_rate,depth,l2_leaf_reg,bootstrap_type,subsample,verbose,loss_function,eval_metric,task_type
1,0.3951532628292137,0.020299329292656678,500,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
16,0.3951532628292137,0.020299329292656678,300,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
17,0.3918304040491179,0.019717939335365055,300,0.05,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
10,0.38929606521405086,0.02375545501521184,500,0.05,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
9,0.38927313837280086,0.021528580703569455,300,0.03,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
2,0.38874227823117324,0.024065417280365015,300,0.03,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
7,0.3883713655957125,0.024494113733033163,300,0.05,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
18,0.3861308247927073,0.020445534695824066,500,0.03,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
6,0.38580327413558424,0.025536652806664784,300,0.05,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
19,0.385703916651816,0.0165483263331595,500,0.05,4,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
14,0.38563490241847254,0.016752992972221676,500,0.03,4,3,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
12,0.38403065118418334,0.01869573037369353,300,0.03,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
13,0.38323652756879134,0.01706860993028441,500,0.05,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
5,0.3808176299190777,0.02767188821149322,300,0.05,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
20,0.38035082064149,0.016882814034215245,500,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
8,0.38035082064149,0.016882814034215245,300,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
4,0.37378319836670476,0.026137676905856368,500,0.1,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
11,0.3704723610236907,0.00657636729830903,500,0.03,8,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
3,0.3702330702481629,0.0039271272229699115,300,0.03,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
15,0.3538878209182462,0.03542969271001554,300,0.03,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
