trial,mean_score,std_score,iterations,learning_rate,depth,l2_leaf_reg,bootstrap_type,subsample,verbose,loss_function,eval_metric,task_type
20,0.3506303367142983,0.024105843573736015,500,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
8,0.3506303367142983,0.024105843573736015,300,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
1,0.34984049035125225,0.034330340834151526,500,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
16,0.34984049035125225,0.034330340834151526,300,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
12,0.3466374389716383,0.017624693563948052,300,0.03,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
13,0.346315620040404,0.024784478112996614,500,0.05,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
17,0.3434784092215473,0.024905865644649444,300,0.05,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
19,0.342406487317738,0.022629136928908573,500,0.05,4,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
10,0.340847228388705,0.0186240549598724,500,0.05,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
3,0.3401360885436182,0.019289119252686088,300,0.03,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
5,0.3338306705387515,0.021700925161274746,300,0.05,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
11,0.3265286602363744,0.034313087617514657,500,0.03,8,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
18,0.3258471427735479,0.06247425159006166,500,0.03,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
9,0.32546432456555713,0.015279533718187629,300,0.03,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
15,0.32206552115781023,0.010883064111059822,300,0.03,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
6,0.321733305497459,0.02077294144191666,300,0.05,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
7,0.31953092701678504,0.05731512625448137,300,0.05,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
2,0.3123618596661188,0.060180452175724236,300,0.03,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
4,0.3113189762058237,0.0012162799094689895,500,0.1,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
14,0.3092166786356531,0.03672715550228759,500,0.03,4,3,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
