split,metric,iteration,mean,std
learn,MultiClass,1,1.3646345376853688,0.003725280469090631
learn,MultiClass,2,1.343993905600839,0.007906233186718677
learn,MultiClass,3,1.3241742424790361,0.010531385571800025
learn,MultiClass,4,1.3056977338846165,0.013679458092739547
learn,MultiClass,5,1.2874854273310563,0.015975665456231827
learn,MultiClass,6,1.270615634385333,0.017749629094139224
learn,MultiClass,7,1.254973162582725,0.02021380790936603
learn,MultiClass,8,1.2399537780317547,0.022646456831788016
learn,MultiClass,9,1.2260192693338188,0.02408113920453834
learn,MultiClass,10,1.2122161303639363,0.026150545545175333
learn,MultiClass,11,1.199016391294862,0.027624298315515904
learn,MultiClass,12,1.186153070073803,0.028243293496368244
learn,MultiClass,13,1.1747612332079695,0.029366467160544224
learn,MultiClass,14,1.1619509988589967,0.032024439813261446
learn,MultiClass,15,1.1501558487893033,0.03486149862957368
learn,MultiClass,16,1.1389196940945387,0.03690072420111844
learn,MultiClass,17,1.1280891836355609,0.03910134666414696
learn,MultiClass,18,1.1175128513558132,0.04075622151554576
learn,MultiClass,19,1.1078734371890586,0.04283839228169285
learn,MultiClass,20,1.0976140373395376,0.044443822489224
learn,MultiClass,21,1.0876221645700974,0.0456808731084216
learn,MultiClass,22,1.0782063547561889,0.04720254347854136
learn,MultiClass,23,1.0695690137310407,0.04895595057232864
learn,MultiClass,24,1.0610725438667938,0.05046033797287326
learn,MultiClass,25,1.052828883624463,0.05192597044856928
learn,MultiClass,26,1.0452024613759587,0.053432576522016134
learn,MultiClass,27,1.037744117547508,0.05472492207010121
learn,MultiClass,28,1.0302703143863827,0.055431183789661324
learn,MultiClass,29,1.0227683305717168,0.05654635206818884
learn,MultiClass,30,1.0159183954568902,0.057476001612525564
learn,MultiClass,31,1.0087507714929314,0.05763278844644032
learn,MultiClass,32,1.0021119514516583,0.058255906695197125
learn,MultiClass,33,0.9952667040482231,0.05860547031641115
learn,MultiClass,34,0.9889275007177135,0.05969564962458585
learn,MultiClass,35,0.9827908439612827,0.059908866018296834
learn,MultiClass,36,0.9765664299200693,0.059844218536360155
learn,MultiClass,37,0.9712187944484398,0.0603414817180848
learn,MultiClass,38,0.9660398461599788,0.0606354383789393
learn,MultiClass,39,0.9605703802800312,0.06131035704847479
learn,MultiClass,40,0.9556430094229414,0.06152787477279401
learn,MultiClass,41,0.9506044149429372,0.061872316899989586
learn,MultiClass,42,0.9457573671783374,0.061764692641000686
learn,MultiClass,43,0.9406442173743345,0.061580733833152206
learn,MultiClass,44,0.9355938834570329,0.06169892133902387
learn,MultiClass,45,0.9310925344696263,0.06228239691884339
learn,MultiClass,46,0.9262680808275899,0.0625420481466354
learn,MultiClass,47,0.9215977891115309,0.06246418100009188
learn,MultiClass,48,0.9173725332989401,0.06302375123438277
learn,MultiClass,49,0.913512952145998,0.06364673635299166
learn,MultiClass,50,0.9092885349616383,0.06407669197202297
learn,MultiClass,51,0.9055916627280077,0.0647206878656335
learn,MultiClass,52,0.9021903377883019,0.06445755170768284
learn,MultiClass,53,0.8986195796320811,0.06413769466916291
learn,MultiClass,54,0.8946296925317889,0.06421854123430323
learn,MultiClass,55,0.8907644515548774,0.06513175793672635
learn,MultiClass,56,0.887351286441608,0.06519765407795855
learn,MultiClass,57,0.884271404870072,0.06551994844697775
learn,MultiClass,58,0.8810692166892541,0.06597105872321025
learn,MultiClass,59,0.8780628661753908,0.06619783139371176
learn,MultiClass,60,0.8743995096308451,0.06617235461134555
learn,MultiClass,61,0.8706693635737314,0.06678009550062247
learn,MultiClass,62,0.8673604011181149,0.06643732493130138
learn,MultiClass,63,0.8642453773656195,0.06748031257826564
