trial,mean_score,std_score,iterations,learning_rate,depth,l2_leaf_reg,bootstrap_type,subsample,verbose,loss_function,eval_metric,task_type
8,0.4146439564979786,0.018165751757475063,300,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
20,0.41016997779589337,0.022639730459560248,500,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
6,0.4019878775313992,0.007337601740722288,300,0.05,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
5,0.4017484533194299,0.03106125493602377,300,0.05,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
10,0.401063660758606,0.012022737179415932,500,0.05,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
2,0.39871215680795447,0.015647411136372774,300,0.03,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
11,0.3958469254783312,0.010212773093590366,500,0.03,8,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
1,0.3884396788960156,0.024941612400614682,500,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
9,0.3861217049710117,0.01487637932993835,300,0.03,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
19,0.3839295841570892,0.03302321291042387,500,0.05,4,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
16,0.38367227978829377,0.020174213292892818,300,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
12,0.3790754175996841,0.02406956970749774,300,0.03,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
13,0.37740230506250794,0.024675418534165522,500,0.05,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
17,0.3746500166744233,0.014271999168577909,300,0.05,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
18,0.36491113371035705,0.029581962852238186,500,0.03,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
3,0.3577574640238037,0.02420301319755211,300,0.03,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
14,0.34646722108076494,0.00043678690188270197,500,0.03,4,3,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
15,0.3449764427966745,0.0010539913822077418,300,0.03,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
4,0.34362640776673875,0.0024040264121434896,500,0.1,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
7,0.34017915651012726,0.005851277668754984,300,0.05,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
