fold,split,metric,iteration,value
4,learn,TotalF1:average=Macro,1,0.5981682647989145
4,learn,TotalF1:average=Macro,2,0.6297472389159136
4,learn,TotalF1:average=Macro,3,0.6289006542548142
4,learn,TotalF1:average=Macro,4,0.6627628036866029
4,learn,TotalF1:average=Macro,5,0.6772153103027949
4,learn,TotalF1:average=Macro,6,0.6731806676871896
4,learn,TotalF1:average=Macro,7,0.6834726618927536
4,learn,TotalF1:average=Macro,8,0.6887139677854166
4,learn,TotalF1:average=Macro,9,0.6926355660483494
4,learn,TotalF1:average=Macro,10,0.6919144057790194
4,learn,TotalF1:average=Macro,11,0.6934098528045763
4,learn,TotalF1:average=Macro,12,0.6950054954896085
4,learn,TotalF1:average=Macro,13,0.6994356095759513
4,learn,TotalF1:average=Macro,14,0.7035418246724113
4,learn,TotalF1:average=Macro,15,0.7024992328331375
4,learn,TotalF1:average=Macro,16,0.7035726481772744
4,learn,TotalF1:average=Macro,17,0.7033674046712327
4,learn,TotalF1:average=Macro,18,0.6983770925800057
4,learn,TotalF1:average=Macro,19,0.7102791260298902
4,learn,TotalF1:average=Macro,20,0.7151457500499473
4,learn,TotalF1:average=Macro,21,0.723873540280664
4,learn,TotalF1:average=Macro,22,0.7286293956360785
4,learn,TotalF1:average=Macro,23,0.7317396807297283
4,learn,TotalF1:average=Macro,24,0.7419957649921382
4,learn,TotalF1:average=Macro,25,0.7425211620835294
4,learn,TotalF1:average=Macro,26,0.7464000431685914
4,learn,TotalF1:average=Macro,27,0.7519946720784122
4,learn,TotalF1:average=Macro,28,0.7557501959525882
4,learn,TotalF1:average=Macro,29,0.7576246744760948
4,learn,TotalF1:average=Macro,30,0.7633333332057695
4,learn,TotalF1:average=Macro,31,0.7652818174099434
4,learn,TotalF1:average=Macro,32,0.7686978412012939
4,learn,TotalF1:average=Macro,33,0.7689321422253561
4,learn,TotalF1:average=Macro,34,0.7703745901839124
4,learn,TotalF1:average=Macro,35,0.7704283093607371
4,learn,TotalF1:average=Macro,36,0.7702229750793604
4,learn,TotalF1:average=Macro,37,0.772392938927895
4,learn,TotalF1:average=Macro,38,0.7729743794345151
4,learn,TotalF1:average=Macro,39,0.775359417649723
4,learn,TotalF1:average=Macro,40,0.7778896842827344
4,learn,TotalF1:average=Macro,41,0.7805561196899926
4,learn,TotalF1:average=Macro,42,0.7821181790217253
4,learn,TotalF1:average=Macro,43,0.7836106269052439
4,learn,TotalF1:average=Macro,44,0.7839236005265775
4,learn,TotalF1:average=Macro,45,0.7853000529697982
4,learn,TotalF1:average=Macro,46,0.7878075986035605
4,learn,TotalF1:average=Macro,47,0.7898915066988124
4,learn,TotalF1:average=Macro,48,0.7908983810509926
4,learn,TotalF1:average=Macro,49,0.791002032128528
4,learn,TotalF1:average=Macro,50,0.7914103922940928
4,learn,TotalF1:average=Macro,51,0.7927627526218565
4,learn,TotalF1:average=Macro,52,0.7930669811113984
4,learn,TotalF1:average=Macro,53,0.7932655730764501
4,learn,TotalF1:average=Macro,54,0.793523242810588
4,learn,TotalF1:average=Macro,55,0.7968247477089185
4,learn,TotalF1:average=Macro,56,0.7973848278049838
4,learn,TotalF1:average=Macro,57,0.7992765058336492
4,learn,TotalF1:average=Macro,58,0.802411128989971
4,learn,TotalF1:average=Macro,59,0.8025523329177605
4,learn,TotalF1:average=Macro,60,0.8034107315108325
4,learn,TotalF1:average=Macro,61,0.8047721251904554
4,learn,TotalF1:average=Macro,62,0.8056246143407104
4,learn,TotalF1:average=Macro,63,0.8051699330885184
4,learn,TotalF1:average=Macro,64,0.8056278843834115
4,learn,TotalF1:average=Macro,65,0.8064710136883678
