trial,mean_score,std_score,iterations,learning_rate,depth,l2_leaf_reg,bootstrap_type,subsample,verbose,loss_function,eval_metric,task_type
4,0.3835601198014072,0.046601180922876614,500,0.1,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
17,0.3774147249944595,0.05336959442758389,300,0.05,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
6,0.376896614501138,0.04778748466183744,300,0.05,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
1,0.37620577041557934,0.051138384781585486,500,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
5,0.3728625341371478,0.0475802381157622,300,0.05,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
8,0.3713685568101537,0.047986639123489355,300,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
9,0.37033361932351805,0.0473224278114396,300,0.03,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
16,0.3701709515852032,0.045399122657121496,300,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
19,0.37004140151401566,0.061018318941774036,500,0.05,4,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
10,0.3693537289923492,0.056692863633428216,500,0.05,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
11,0.3691138417824359,0.04574179990614749,500,0.03,8,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
20,0.3687289693613428,0.04514114800418002,500,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
7,0.36489871791085426,0.04646213092046327,300,0.05,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
13,0.3636965015718728,0.06002637580007804,500,0.05,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
14,0.36146436236225915,0.042627497709677165,500,0.03,4,3,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
12,0.3584558823058473,0.05487010626806027,300,0.03,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
2,0.35723366509540777,0.0448693516760381,300,0.03,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
18,0.35672727636047885,0.0429892174672578,500,0.03,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
3,0.3567216914042705,0.05578880713351968,300,0.03,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
15,0.35224119168814155,0.03844427538969001,300,0.03,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
