trial,mean_score,std_score,iterations,learning_rate,depth,l2_leaf_reg,bootstrap_type,subsample,verbose,loss_function,eval_metric,task_type
15,0.4031589554774543,0.06943776863223398,300,0.03,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
12,0.4031260841798353,0.0647641238902085,300,0.03,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
17,0.4028878231307636,0.0629579402648886,300,0.05,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
3,0.4013723165614203,0.06939532351544307,300,0.03,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
8,0.3998217092570867,0.06843733138036037,300,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
14,0.3997482022129075,0.06867790361185022,500,0.03,4,3,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
18,0.39963296365036927,0.06521219818504528,500,0.03,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
13,0.39897653315222764,0.057850359180778035,500,0.05,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
2,0.39666739916583105,0.06470106862351757,300,0.03,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
7,0.39637157736465756,0.06596364771451131,300,0.05,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
11,0.3949421686498015,0.05717315751125432,500,0.03,8,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
5,0.3947120257268164,0.05603103070287606,300,0.05,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
19,0.39434455913494243,0.06666966046059689,500,0.05,4,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
20,0.3939760923965294,0.05981476068453954,500,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
9,0.39288251032554566,0.0642563584202476,300,0.03,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
16,0.3926887018156687,0.06258920319418536,300,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
10,0.3925258369066619,0.055320516443676075,500,0.05,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
4,0.39196423448624784,0.054885113135729816,500,0.1,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
6,0.39098250879223906,0.05360357620846226,300,0.05,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
1,0.38999296913055187,0.05973672910592232,500,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
