fold,split,metric,iteration,value
3,learn,TotalF1:average=Macro,1,0.5462218981162533
3,learn,TotalF1:average=Macro,2,0.5776718015245951
3,learn,TotalF1:average=Macro,3,0.5811741367467191
3,learn,TotalF1:average=Macro,4,0.5937102939422849
3,learn,TotalF1:average=Macro,5,0.6040468775975318
3,learn,TotalF1:average=Macro,6,0.6071081065051114
3,learn,TotalF1:average=Macro,7,0.6151525719728295
3,learn,TotalF1:average=Macro,8,0.6235702889977778
3,learn,TotalF1:average=Macro,9,0.6330926078496202
3,learn,TotalF1:average=Macro,10,0.6365512840683464
3,learn,TotalF1:average=Macro,11,0.6434600342358782
3,learn,TotalF1:average=Macro,12,0.6475980314656617
3,learn,TotalF1:average=Macro,13,0.6552592150288343
3,learn,TotalF1:average=Macro,14,0.6618291282387079
3,learn,TotalF1:average=Macro,15,0.6648959486079162
3,learn,TotalF1:average=Macro,16,0.6691357479772447
3,learn,TotalF1:average=Macro,17,0.668719050480076
3,learn,TotalF1:average=Macro,18,0.6694250361452855
3,learn,TotalF1:average=Macro,19,0.6727043775498522
3,learn,TotalF1:average=Macro,20,0.6769956371117024
3,learn,TotalF1:average=Macro,21,0.6797050339785684
3,learn,TotalF1:average=Macro,22,0.6812851925347622
3,learn,TotalF1:average=Macro,23,0.6827536061871871
3,learn,TotalF1:average=Macro,24,0.6859438232258718
3,learn,TotalF1:average=Macro,25,0.6878568749712924
3,learn,TotalF1:average=Macro,26,0.6889966401274942
3,learn,TotalF1:average=Macro,27,0.6912882240384437
3,learn,TotalF1:average=Macro,28,0.6930984941560274
3,learn,TotalF1:average=Macro,29,0.6952642046289349
3,learn,TotalF1:average=Macro,30,0.6979687805621806
3,learn,TotalF1:average=Macro,31,0.6997982858069262
3,learn,TotalF1:average=Macro,32,0.7019060412106038
3,learn,TotalF1:average=Macro,33,0.7029915351416451
3,learn,TotalF1:average=Macro,34,0.7053187405052943
3,learn,TotalF1:average=Macro,35,0.7070060780815698
3,learn,TotalF1:average=Macro,36,0.7088167174153233
3,learn,TotalF1:average=Macro,37,0.7085262547920228
3,learn,TotalF1:average=Macro,38,0.7105648206028409
3,learn,TotalF1:average=Macro,39,0.7119232075351013
3,learn,TotalF1:average=Macro,40,0.7142842123067135
3,learn,TotalF1:average=Macro,41,0.7146752541652842
3,learn,TotalF1:average=Macro,42,0.7161917516327465
3,learn,TotalF1:average=Macro,43,0.7170668961194762
3,learn,TotalF1:average=Macro,44,0.7173369600186014
3,learn,TotalF1:average=Macro,45,0.7189136380458674
3,learn,TotalF1:average=Macro,46,0.720269474775721
3,learn,TotalF1:average=Macro,47,0.721576096395295
3,learn,TotalF1:average=Macro,48,0.7225939499366365
3,learn,TotalF1:average=Macro,49,0.7260084869730001
3,learn,TotalF1:average=Macro,50,0.7270325468031938
3,learn,TotalF1:average=Macro,51,0.7277518972699661
3,learn,TotalF1:average=Macro,52,0.7293796060736419
3,learn,TotalF1:average=Macro,53,0.7302044749614455
3,learn,TotalF1:average=Macro,54,0.7327430103016908
3,learn,TotalF1:average=Macro,55,0.734538906452395
3,learn,TotalF1:average=Macro,56,0.735589534533121
3,learn,TotalF1:average=Macro,57,0.7359972559606409
3,learn,TotalF1:average=Macro,58,0.7374713953776854
3,learn,TotalF1:average=Macro,59,0.7377458131899862
