trial,mean_score,std_score,iterations,learning_rate,depth,l2_leaf_reg,bootstrap_type,subsample,verbose,loss_function,eval_metric,task_type
15,0.4393293349333873,0.002195871403816385,300,0.03,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
3,0.4372577295176655,0.004267476819538207,300,0.03,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
12,0.43042212676723735,0.002325322139949071,300,0.03,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
14,0.4249580314617549,0.016567174875448787,500,0.03,4,3,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
17,0.4188123020122947,0.009284502614993584,300,0.05,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
19,0.41864784578310593,0.02287736055409778,500,0.05,4,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
13,0.41781599880102327,0.023709207536180443,500,0.05,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
18,0.4161512615085877,0.011945543118700552,500,0.03,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
7,0.4158808007401769,0.01221600388711136,300,0.05,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
16,0.4129066035442184,0.015190201083069926,300,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
1,0.40497320958186567,0.02312359504542258,500,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
4,0.4044533311196658,0.025523325697522192,500,0.1,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
6,0.3984000917205476,0.012663932542907735,300,0.05,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
8,0.3956247110373037,0.009645126296968481,300,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
20,0.3956247110373037,0.009645126296968481,500,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
9,0.3938210072785392,0.007841422538203968,300,0.03,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
2,0.39375088883507625,0.011485155984301887,300,0.03,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
11,0.39375088883507625,0.011485155984301887,500,0.03,8,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
5,0.39084833319968265,0.004868748459347427,300,0.05,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
10,0.3803531701130601,0.001912562737714285,500,0.05,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
