trial,mean_score,std_score,iterations,learning_rate,depth,l2_leaf_reg,bootstrap_type,subsample,verbose,loss_function,eval_metric,task_type
3,0.43338554693480186,0.036623158558117194,300,0.03,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
19,0.422787053318335,0.04868063619344722,500,0.05,4,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
8,0.41810826711661075,0.04841744476612839,300,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
20,0.41810826711661075,0.04841744476612839,500,0.03,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
13,0.41803038238275536,0.048638605396157955,500,0.05,4,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
5,0.41536222489187336,0.048086769648032636,300,0.05,8,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
12,0.4054990768523521,0.04398319230091065,300,0.03,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
7,0.4026386104970054,0.048480156933432675,300,0.05,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
15,0.4021165530234688,0.049817391208789606,300,0.03,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
2,0.4014584626124116,0.04966134159671967,300,0.03,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
17,0.40008937837966074,0.04693456508261896,300,0.05,6,20,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
18,0.395871225817059,0.03683978866849142,500,0.03,6,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
4,0.3907732208921263,0.04735918944503287,500,0.1,4,20,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
11,0.3903200937109663,0.029669784707966242,500,0.03,8,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
10,0.38573059158164436,0.05345690563992634,500,0.05,8,10,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
14,0.3824050522644943,0.04239254839659214,500,0.03,4,3,Bernoulli,0.7,0,MultiClass,Accuracy,CPU
9,0.37927163055204444,0.03285530024978581,300,0.03,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
1,0.37796873885593313,0.030988856906092727,500,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
16,0.37796873885593313,0.030988856906092727,300,0.05,6,10,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
6,0.36374170531468947,0.03419742414239875,300,0.05,8,3,Bernoulli,0.9,0,MultiClass,Accuracy,CPU
